,area,perimeter,pysiological_length,pysiological_width,aspect_ratio,rectangularity,circularity,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy
0,197484.0,3479.0360382795334,1416,759,1.865612648221344,5.442182657835572,61.28948044220165,6.395666666666667,13.643413020833334,4.388006770833333,24.025329103133817,40.20093140501166,21.44841187827095,12.63965606694234,0.997665772818018,0.9117375851644554,1.68868928809911
0,101248.0,2490.381811618805,1190,130,9.153846153846153,1.5279314159292035,61.25554645663876,7.049316145833333,9.232017708333334,10.876065625,33.81620502961949,37.38222055491552,46.47922962038006,8.137424082767671,0.9971911347495949,0.9448180858455831,1.1937952652276915
0,86570.5,2290.6833270788193,1095,119,9.201680672268907,1.5051894120976546,60.61221900020086,3.4343026041666667,6.371511458333333,2.6447572916666666,19.975698947358936,29.057373993583756,19.27504973278957,8.553729373141717,0.996610015252205,0.9590227075355221,0.8487580137747311
0,190214.0,2856.479352593422,1318,254,5.188976377952756,1.7599756064222403,42.89628677065061,7.670414583333334,13.303598958333334,6.049156770833333,28.82288535743978,40.2218451420474,26.948603797464493,8.440040958173972,0.9984187718969999,0.9143313455125822,1.6739145504611448
0,227727.0,2917.248904109001,1324,286,4.629370629370629,1.6627979993588815,37.37080437772055,8.992027604166667,16.671171354166667,6.29428125,30.967157947359965,45.040192402092494,28.595326115105568,8.64143845786884,0.998567725124273,0.8986437535801612,1.9680816577699103
0,233724.0,3689.8097653388977,1434,953,1.5047219307450157,5.847076038404272,58.25116849099918,7.319240104166667,15.730615104166667,4.43293125,24.81753263038167,42.2213212701679,21.53426747630638,14.561432587793357,0.9977080828077638,0.8956539207197369,1.9571512610658175
0,258395.0,3543.6777395009995,1396,874,1.597254004576659,4.721856073066429,48.59866453079554,9.674848958333333,18.432271354166666,6.657214583333333,28.70796453672343,46.43166266942421,24.427573585665854,11.795340512326527,0.9981005317049446,0.884638910869112,2.1260150671280167
0,244401.0,3732.956951022148,1479,912,1.6217105263157894,5.518995421458996,57.01681907269026,9.033226041666667,16.534254166666667,6.9478442708333334,29.570095116465566,43.37797982783121,28.114027064807853,13.62787261044335,0.9979453873934241,0.8890179384430498,2.070195696160941
0,223690.0,3142.3170071840286,1404,388,3.618556701030928,2.43529885108856,44.14214392077424,8.594645833333333,16.134782291666667,5.9357151041666665,28.13372567384623,43.99786719954565,24.565104341450155,12.593450470242825,0.9977369773958562,0.8966265292085509,1.8916949759897035
0,288345.5,3083.270324110985,1329,450,2.953333333333333,2.0740743309675373,32.969322883635975,9.552538020833333,19.346294791666665,6.716408333333334,27.72882559581335,45.99022483003598,24.64435095716523,10.302925338868578,0.998595223677598,0.8743764564290214,2.286609450930254
0,325751.5,3438.2248553037643,1371,771,1.7782101167315174,3.2449305682399006,36.28959546043101,10.793174479166666,23.0670171875,6.9855109375,28.372411551830304,50.8309288725943,23.943089925304864,13.031827812475722,0.9982728229807046,0.8556832424033218,2.586471534538255
0,280822.0,3638.731558442116,1417,914,1.5503282275711159,4.61195347942825,47.1486114136449,10.49335,19.798977604166666,8.049865625,30.772753108919243,47.62327818296644,28.250066627551686,12.60749271064628,0.9981867771803932,0.8747523553471561,2.292682361232815
0,326785.0,3338.296798825264,1410,564,2.5,2.433526630659302,34.102622571559294,9.732555729166666,23.086971354166668,5.9583703125,25.739689018119428,50.91516930808582,21.002124242520917,15.702291979976067,0.997933351163707,0.8558152208175098,2.588301628989002
0,248368.0,3399.8888436555862,1342,811,1.654747225647349,4.382054048830767,46.54079490600126,8.4953953125,17.538630729166666,5.8218375,26.50283506149587,45.374978665744486,23.25147687510613,14.59666392805515,0.9976232728071796,0.8882034040768001,2.0927719489424224
0,295805.5,3617.719361424446,1413,899,1.57174638487208,4.29433191742547,44.24492911059903,11.034011458333334,20.444709375,8.72889375,31.289176434842492,47.782072957038906,29.247208651445888,13.05081772094667,0.9982035821243918,0.868840623143905,2.3767539059089016
0,235298.0,3670.922461271286,1418,966,1.4679089026915113,5.821502945201404,57.27065982994346,7.761883854166666,15.329428125,5.7052463541666665,26.47335887998716,41.27141938873028,25.070850250189633,13.606290650515175,0.9979372433776919,0.8940092447348333,1.993244563297424
